año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2024,1,21.0,Puebla,34.0,Coronango,3,1,2,1,1.0,2.0,2.0,3.0,1.0,754579.68,93
2024,1,21.0,Puebla,34.0,Coronango,3,1,2,1,1.0,2.0,3.0,3.0,1.0,823000.0,94
2024,1,21.0,Puebla,34.0,Coronango,3,1,2,1,2.0,2.0,2.0,3.0,1.0,627820.45,95
2024,1,21.0,Puebla,34.0,Coronango,3,1,2,1,2.0,2.0,4.0,4.0,1.0,1434875.48,96
2024,1,21.0,Puebla,34.0,Coronango,3,1,2,1,2.0,2.0,5.0,4.0,1.0,1546487.0,97
2024,1,21.0,Puebla,34.0,Coronango,3,3,3,1,2.0,3.0,4.0,4.0,1.0,1380000.0,98
2024,1,21.0,Puebla,39.0,Cuautempan,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,99
2024,1,21.0,Puebla,40.0,Cuautinchán,2,1,5,1,2.0,2.0,6.0,5.0,1.0,2500000.0,100
2024,1,21.0,Puebla,40.0,Cuautinchán,2,3,3,1,1.0,2.0,4.0,5.0,1.0,2144080.0,101
2024,1,21.0,Puebla,40.0,Cuautinchán,4,2,1,1,2.0,1.0,0.0,0.0,1.0,0.0,102
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,0.0,1.0,5.0,1.0,0.0,103
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,0.0,6.0,4.0,1.0,0.0,104
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,1.0,6.0,4.0,2.0,3556123.47,105
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,2.0,4.0,3.0,2.0,1831537.55,106
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,2.0,4.0,4.0,2.0,799142.82,107
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,2.0,5.0,3.0,1.0,891045.6,108
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,1.0,2.0,6.0,4.0,6.0,9375857.39,109
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,0.0,1.0,4.0,1.0,0.0,110
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,1.0,4.0,3.0,1.0,741701.13,111
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,1.0,5.0,4.0,1.0,645683.68,112
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,2.0,3.0,4.0,1.0,329091.56,113
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,2.0,4.0,3.0,2.0,1793834.93,114
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,2.0,4.0,4.0,1.0,451417.25,115
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,2.0,5.0,4.0,2.0,1071095.07,116
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,2.0,6.0,4.0,3.0,4341569.81,117
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,2,2.0,3.0,6.0,4.0,1.0,1728292.09,118
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,1.0,1.0,4.0,1.0,301252.58,119
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,1.0,6.0,3.0,1.0,1070218.93,120
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,1.0,6.0,4.0,2.0,2524224.27,121
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,1.0,6.0,5.0,1.0,1546690.77,122
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,2.0,3.0,1.0,577057.47,123
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,2.0,4.0,1.0,478462.53,124
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,3.0,4.0,3.0,1806191.23,125
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,4.0,3.0,1.0,1030634.5,126
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,5.0,3.0,1.0,1040347.02,127
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,6.0,3.0,1.0,1031027.79,128
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,1.0,2.0,6.0,4.0,2.0,1721753.9,129
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,1.0,3.0,4.0,1.0,671514.21,130
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,1.0,4.0,4.0,1.0,137276.29,131
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,1.0,5.0,3.0,1.0,1038849.25,132
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,1.0,5.0,4.0,1.0,1113114.1,133
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,2.0,3.0,1.0,452394.43,134
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,4.0,3.0,1.0,1033955.15,135
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,4.0,4.0,1.0,896069.92,136
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,5.0,4.0,1.0,1046271.51,137
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,5.0,5.0,1.0,1048357.21,138
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,1,2,1,2.0,2.0,6.0,4.0,1.0,1634949.01,139
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,1.0,1.0,0.0,1.0,0.0,140
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,1.0,2.0,0.0,1.0,0.0,141
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,1.0,3.0,0.0,1.0,0.0,142
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,1.0,4.0,0.0,1.0,0.0,143
